t,i,num_sampled,num_new_elements,total_sample_size
1,1,80,80,80
1,2,86,78,158
1,3,81,68,226
1,4,80,71,297
1,5,87,73,370
1,6,87,72,442
1,7,83,72,514
1,8,96,86,600
1,9,96,77,677
1,10,89,73,750
1,11,92,72,822
1,12,87,70,892
1,13,92,77,969
1,14,96,78,1047
1,15,89,74,1121
1,16,95,74,1195
1,17,92,71,1266
1,18,94,77,1343
1,19,96,78,1421
1,20,92,68,1489
1,21,90,70,1559
1,22,98,72,1631
1,23,93,70,1701
1,24,92,68,1769
1,25,95,67,1836
2,1,75,75,75
2,2,87,80,155
2,3,82,73,228
2,4,86,66,294
2,5,88,72,366
2,6,78,60,426
2,7,81,67,493
2,8,89,71,564
2,9,82,62,626
2,10,85,67,693
2,11,86,67,760
2,12,89,69,829
2,13,86,67,896
2,14,92,67,963
2,15,87,65,1028
2,16,79,65,1093
2,17,85,68,1161
2,18,88,64,1225
2,19,82,57,1282
2,20,82,57,1339
2,21,84,61,1400
2,22,89,69,1469
2,23,89,60,1529
2,24,95,68,1597
2,25,87,66,1663
3,1,78,78,78
3,2,82,74,152
3,3,90,80,232
3,4,92,75,307
3,5,89,72,379
3,6,88,70,449
3,7,89,75,524
3,8,86,73,597
3,9,85,63,660
3,10,91,70,730
3,11,86,68,798
3,12,85,67,865
3,13,93,77,942
3,14,88,68,1010
3,15,91,66,1076
3,16,91,64,1140
3,17,89,65,1205
3,18,93,69,1274
3,19,91,68,1342
3,20,85,62,1404
3,21,91,75,1479
3,22,92,61,1540
3,23,91,69,1609
3,24,94,74,1683
3,25,90,66,1749
4,1,70,70,70
4,2,77,69,139
4,3,80,71,210
4,4,83,71,281
4,5,89,69,350
4,6,86,64,414
4,7,87,65,479
4,8,90,72,551
4,9,88,70,621
4,10,88,68,689
4,11,81,57,746
4,12,84,64,810
4,13,89,64,874
4,14,88,65,939
4,15,87,66,1005
4,16,83,58,1063
4,17,88,63,1126
4,18,87,68,1194
4,19,92,71,1265
4,20,87,67,1332
4,21,91,69,1401
4,22,92,67,1468
4,23,92,60,1528
4,24,91,73,1601
4,25,96,75,1676
5,1,73,73,73
5,2,78,71,144
5,3,78,69,213
5,4,79,64,277
5,5,78,59,336
5,6,83,58,394
5,7,85,74,468
5,8,79,63,531
5,9,89,61,592
5,10,81,60,652
5,11,83,62,714
5,12,85,65,779
5,13,85,69,848
5,14,81,62,910
5,15,88,66,976
5,16,92,67,1043
5,17,86,64,1107
5,18,85,66,1173
5,19,88,64,1237
5,20,87,69,1306
5,21,91,68,1374
5,22,88,67,1441
5,23,93,72,1513
5,24,86,62,1575
5,25,82,55,1630
6,1,72,72,72
6,2,80,74,146
6,3,87,78,224
6,4,82,70,294
6,5,86,68,362
6,6,82,65,427
6,7,85,66,493
6,8,88,70,563
6,9,86,66,629
6,10,86,66,695
6,11,83,60,755
6,12,86,72,827
6,13,82,59,886
6,14,86,66,952
6,15,88,65,1017
6,16,94,75,1092
6,17,86,67,1159
6,18,89,62,1221
6,19,75,58,1279
6,20,84,64,1343
6,21,87,63,1406
6,22,87,64,1470
6,23,84,65,1535
6,24,93,75,1610
6,25,86,67,1677
7,1,77,77,77
7,2,72,69,146
7,3,84,70,216
7,4,85,70,286
7,5,84,70,356
7,6,86,67,423
7,7,87,68,491
7,8,86,69,560
7,9,85,67,627
7,10,88,65,692
7,11,92,72,764
7,12,87,67,831
7,13,89,57,888
7,14,92,63,951
7,15,92,76,1027
7,16,89,67,1094
7,17,89,67,1161
7,18,86,70,1231
7,19,90,62,1293
7,20,89,62,1355
7,21,86,69,1424
7,22,93,69,1493
7,23,91,69,1562
7,24,89,65,1627
7,25,85,63,1690
8,1,59,59,59
8,2,69,63,122
8,3,74,61,183
8,4,64,50,233
8,5,65,48,281
8,6,70,56,337
8,7,79,62,399
8,8,76,58,457
8,9,76,56,513
8,10,77,58,571
8,11,86,71,642
8,12,76,56,698
8,13,84,64,762
8,14,85,63,825
8,15,86,63,888
8,16,85,57,945
8,17,81,56,1001
8,18,83,61,1062
8,19,90,72,1134
8,20,84,57,1191
8,21,83,55,1246
8,22,84,58,1304
8,23,87,60,1364
8,24,82,61,1425
8,25,83,57,1482
9,1,58,58,58
9,2,66,61,119
9,3,68,57,176
9,4,65,54,230
9,5,71,52,282
9,6,79,65,347
9,7,81,63,410
9,8,76,56,466
9,9,84,59,525
9,10,82,62,587
9,11,81,62,649
9,12,84,68,717
9,13,80,60,777
9,14,79,60,837
9,15,89,68,905
9,16,92,74,979
9,17,88,55,1034
9,18,77,55,1089
9,19,86,63,1152
9,20,89,68,1220
9,21,85,59,1279
9,22,88,69,1348
9,23,85,63,1411
9,24,82,59,1470
9,25,94,67,1537
10,1,63,63,63
10,2,74,64,127
10,3,77,72,199
10,4,82,74,273
10,5,79,65,338
10,6,80,60,398
10,7,85,68,466
10,8,81,62,528
10,9,90,78,606
10,10,78,64,670
10,11,91,75,745
10,12,81,61,806
10,13,85,69,875
10,14,81,61,936
10,15,85,65,1001
10,16,81,68,1069
10,17,87,62,1131
10,18,85,62,1193
10,19,85,63,1256
10,20,81,64,1320
10,21,84,64,1384
10,22,90,65,1449
10,23,88,64,1513
10,24,91,61,1574
10,25,91,70,1644
11,1,50,50,50
11,2,63,60,110
11,3,74,65,175
11,4,72,61,236
11,5,81,61,297
11,6,85,60,357
11,7,73,58,415
11,8,80,63,478
11,9,89,74,552
11,10,81,63,615
11,11,76,53,668
11,12,85,60,728
11,13,86,64,792
11,14,86,66,858
11,15,80,63,921
11,16,84,64,985
11,17,81,61,1046
11,18,79,56,1102
11,19,85,64,1166
11,20,91,69,1235
11,21,88,71,1306
11,22,87,63,1369
11,23,91,77,1446
11,24,79,55,1501
11,25,90,69,1570
12,1,64,64,64
12,2,60,53,117
12,3,66,57,174
12,4,73,62,236
12,5,77,66,302
12,6,78,59,361
12,7,78,60,421
