t,i,num_sampled,num_new_elements,total_sample_size
1,1,25,25,25
1,2,39,17,42
1,3,53,22,64
1,4,53,21,85
1,5,56,17,102
1,6,66,22,124
1,7,71,19,143
1,8,77,25,168
2,1,15,15,15
2,2,41,28,43
2,3,67,40,83
2,4,83,35,118
2,5,121,56,174
2,6,133,47,221
2,7,170,62,283
2,8,174,42,325
3,1,14,14,14
3,2,32,20,34
3,3,62,36,70
3,4,92,44,114
3,5,109,40,154
3,6,128,43,197
3,7,148,52,249
3,8,163,48,297
4,1,11,11,11
4,2,30,21,32
4,3,58,32,64
4,4,92,43,107
4,5,123,58,165
4,6,161,55,220
4,7,184,61,281
4,8,195,51,332
5,1,14,14,14
5,2,27,14,28
5,3,52,33,61
5,4,83,47,108
5,5,117,56,164
5,6,136,47,211
5,7,152,46,257
5,8,178,53,310
6,1,12,12,12
6,2,23,12,24
6,3,45,26,50
6,4,65,36,86
6,5,87,38,124
6,6,115,52,176
6,7,123,39,215
6,8,134,38,253
7,1,18,18,18
7,2,34,22,40
7,3,63,33,73
7,4,89,40,113
7,5,122,50,163
7,6,158,59,222
7,7,177,63,285
7,8,186,40,325
8,1,19,19,19
8,2,43,29,48
8,3,80,45,93
8,4,123,56,149
8,5,143,56,205
8,6,183,62,267
8,7,197,59,326
8,8,202,53,379
9,1,16,16,16
9,2,29,17,33
9,3,63,42,75
9,4,100,52,127
9,5,130,51,178
9,6,145,52,230
9,7,155,49,279
9,8,170,42,321
10,1,14,14,14
10,2,22,11,25
10,3,45,25,50
10,4,79,40,90
10,5,101,43,133
10,6,134,65,198
10,7,152,51,249
10,8,174,54,303
11,1,10,10,10
11,2,22,12,22
11,3,46,31,53
11,4,82,48,101
11,5,101,35,136
11,6,133,52,188
11,7,144,55,243
11,8,178,56,299
12,1,14,14,14
12,2,26,13,27
12,3,60,40,67
12,4,83,41,108
12,5,110,50,158
12,6,120,41,199
12,7,162,59,258
12,8,151,39,297
13,1,15,15,15
13,2,31,18,33
13,3,55,30,63
13,4,94,47,110
13,5,110,49,159
13,6,150,58,217
13,7,176,65,282
13,8,191,49,331
14,1,11,11,11
14,2,34,26,37
14,3,76,48,85
14,4,111,63,148
14,5,128,48,196
14,6,149,46,242
14,7,176,56,298
14,8,168,38,336
15,1,12,12,12
15,2,26,17,29
15,3,54,32,61
15,4,84,45,106
15,5,117,53,159
15,6,134,45,204
15,7,148,47,251
15,8,170,43,294
16,1,15,15,15
16,2,30,17,32
16,3,64,39,71
16,4,90,45,116
16,5,135,61,177
16,6,148,51,228
16,7,173,58,286
16,8,190,47,333
17,1,15,15,15
17,2,37,27,42
17,3,68,38,80
17,4,95,45,125
17,5,128,61,186
17,6,147,54,240
17,7,174,50,290
17,8,176,42,332
18,1,19,19,19
18,2,40,25,44
18,3,81,48,92
18,4,108,56,148
18,5,147,59,207
18,6,179,59,266
18,7,194,59,325
18,8,188,49,374
19,1,16,16,16
19,2,37,25,41
19,3,64,35,76
19,4,92,48,124
19,5,118,51,175
19,6,132,51,226
19,7,150,49,275
19,8,149,31,306
20,1,17,17,17
20,2,44,31,48
20,3,93,63,111
20,4,126,65,176
20,5,156,65,241
20,6,183,56,297
20,7,195,49,346
20,8,209,49,395
21,1,16,16,16
21,2,34,21,37
21,3,61,37,74
21,4,99,53,127
21,5,126,49,176
21,6,130,39,215
21,7,156,48,263
21,8,198,66,329
22,1,13,13,13
22,2,28,18,31
22,3,56,30,61
22,4,93,53,114
22,5,115,45,159
22,6,156,69,228
22,7,173,51,279
22,8,198,56,335
23,1,12,12,12
23,2,30,19,31
23,3,58,34,65
23,4,90,44,109
23,5,133,59,168
23,6,145,48,216
23,7,158,52,268
23,8,168,40,308
24,1,20,20,20
24,2,43,26,46
24,3,76,45,91
24,4,107,46,137
24,5,160,72,209
24,6,172,64,273
24,7,183,51,324
24,8,196,41,365
25,1,13,13,13
25,2,26,15,28
25,3,36,21,49
25,4,67,38,87
25,5,85,32,119
25,6,102,39,158
25,7,124,40,198
25,8,142,49,247
26,1,15,15,15
26,2,36,24,39
26,3,67,37,76
26,4,107,56,132
26,5,126,53,185
26,6,157,53,238
26,7,179,63,301
26,8,193,51,352
27,1,13,13,13
27,2,31,20,33
27,3,59,36,69
27,4,103,51,120
27,5,131,53,173
27,6,149,59,232
27,7,171,59,291
27,8,193,53,344
28,1,21,21,21
28,2,29,14,35
28,3,54,30,65
28,4,83,36,101
28,5,108,48,149
28,6,135,58,207
28,7,151,51,258
28,8,162,41,299
29,1,14,14,14
29,2,31,18,32
29,3,53,30,62
29,4,72,33,95
29,5,94,40,135
29,6,114,45,180
29,7,129,41,221
29,8,138,33,254
30,1,17,17,17
30,2,35,19,36
30,3,67,38,74
30,4,107,50,124
30,5,134,59,183
30,6,149,50,233
30,7,167,48,281
30,8,182,51,332
31,1,15,15,15
31,2,33,21,36
31,3,59,36,72
31,4,97,49,121
31,5,125,52,173
31,6,165,58,231
31,7,174,53,284
31,8,208,61,345
32,1,13,13,13
32,2,24,13,26
32,3,40,19,45
32,4,72,35,80
32,5,92,40,120
32,6,120,54,174
32,7,149,53,227
32,8,172,59,286
