t,num_sampled,num_new_elements,total_sample_size
1,168,167,168
2,325,288,456
3,297,199,655
4,332,165,820
5,310,109,929
6,253,72,1001
7,325,64,1065
8,379,52,1117
9,321,15,1132
10,303,11,1143
11,299,7,1150
12,297,8,1158
13,331,1,1159
14,336,0,1159
15,294,0,1159
16,333,0,1159
17,332,0,1159
18,374,0,1159
19,306,0,1159
20,395,0,1159
21,329,0,1159
22,335,0,1159
23,308,0,1159
24,365,0,1159
25,247,0,1159
26,352,0,1159
27,344,0,1159
28,299,232,1391
29,254,152,1543
30,332,201,1744
31,345,106,1850
32,286,51,1901
