t,i,num_sampled,num_new_elements,total_sample_size
1,1,27,27,27
1,2,39,18,45
1,3,46,20,65
1,4,49,16,81
1,5,56,20,101
1,6,57,16,117
1,7,74,21,138
1,8,68,12,150
2,1,12,12,12
2,2,23,12,24
2,3,43,24,48
2,4,83,47,95
2,5,117,55,150
2,6,142,63,213
2,7,158,55,268
2,8,181,52,320
3,1,17,17,17
3,2,26,15,32
3,3,58,36,68
3,4,82,45,113
3,5,112,47,160
3,6,129,45,205
3,7,141,40,245
3,8,146,41,286
4,1,13,13,13
4,2,26,15,28
4,3,37,18,46
4,4,76,46,92
4,5,101,49,141
4,6,124,52,193
4,7,145,49,242
4,8,167,51,293
5,1,16,16,16
5,2,35,23,39
5,3,72,41,80
5,4,107,53,133
5,5,140,57,190
5,6,154,56,246
5,7,173,49,295
5,8,189,58,353
6,1,16,16,16
6,2,39,26,42
6,3,76,52,94
6,4,119,60,154
6,5,147,59,213
6,6,168,70,283
6,7,204,66,349
6,8,201,39,388
7,1,20,20,20
7,2,41,26,46
7,3,68,36,82
7,4,100,50,132
7,5,122,42,174
7,6,143,50,224
7,7,167,53,277
7,8,163,38,315
8,1,17,17,17
8,2,35,20,37
8,3,68,42,79
8,4,113,60,139
8,5,143,61,200
8,6,164,62,262
8,7,189,56,318
8,8,202,44,362
9,1,19,19,19
9,2,39,24,43
9,3,66,37,80
9,4,94,38,118
9,5,139,64,182
9,6,154,59,241
9,7,182,65,306
9,8,193,48,354
10,1,14,14,14
10,2,31,18,32
10,3,60,37,69
10,4,100,53,122
10,5,119,54,176
10,6,152,62,238
10,7,177,54,292
10,8,184,58,350
11,1,11,11,11
11,2,22,12,23
11,3,53,35,58
11,4,67,34,92
11,5,95,45,137
11,6,125,52,189
11,7,141,46,235
11,8,139,44,279
12,1,16,16,16
12,2,42,31,47
12,3,71,39,86
12,4,98,44,130
12,5,126,48,178
12,6,156,60,238
12,7,182,62,300
12,8,189,40,340
