t,i,num_sampled,num_new_elements,total_sample_size
1,1,74,74,74
1,2,87,72,146
1,3,97,80,226
1,4,88,62,288
1,5,85,58,346
2,1,78,78,78
2,2,86,69,147
2,3,89,70,217
2,4,83,59,276
2,5,89,67,343
3,1,74,74,74
3,2,85,72,146
3,3,98,74,220
3,4,86,67,287
3,5,87,56,343
4,1,78,78,78
4,2,85,69,147
4,3,85,63,210
4,4,88,64,274
4,5,91,59,333
5,1,86,86,86
5,2,81,65,151
5,3,81,62,213
5,4,83,54,267
5,5,87,60,327
6,1,86,86,86
6,2,86,71,157
6,3,85,65,222
6,4,91,69,291
6,5,89,62,353
7,1,79,79,79
7,2,82,70,149
7,3,83,64,213
7,4,87,66,279
7,5,91,68,347
8,1,87,87,87
8,2,89,73,160
8,3,92,63,223
8,4,88,68,291
8,5,92,64,355
9,1,76,76,76
9,2,87,75,151
9,3,93,71,222
9,4,85,55,277
9,5,78,48,325
10,1,81,81,81
10,2,85,70,151
10,3,84,67,218
10,4,90,63,281
10,5,90,64,345
