t,i,num_sampled,num_new_elements,total_sample_size
1,1,9,9,9
1,2,17,11,20
1,3,19,12,32
1,4,19,14,46
1,5,22,14,60
1,6,30,16,76
1,7,34,20,96
1,8,41,24,120
1,9,48,30,150
1,10,50,29,179
1,11,51,30,209
1,12,46,24,233
1,13,57,36,269
1,14,57,28,297
1,15,62,34,331
1,16,64,32,363
1,17,70,37,400
1,18,69,38,438
1,19,65,33,471
1,20,70,40,511
1,21,67,39,550
1,22,73,41,591
1,23,81,40,631
1,24,72,37,668
1,25,77,42,710
2,1,20,20,20
2,2,22,19,39
2,3,22,15,54
2,4,40,33,87
2,5,37,21,108
2,6,43,25,133
2,7,46,28,161
2,8,56,37,198
2,9,51,34,232
2,10,59,38,270
2,11,51,28,298
2,12,63,40,338
2,13,61,37,375
2,14,66,47,422
2,15,73,50,472
2,16,60,38,510
2,17,72,41,551
2,18,71,43,594
2,19,67,33,627
2,20,70,36,663
2,21,75,46,709
2,22,76,45,754
2,23,71,44,798
2,24,74,42,840
2,25,74,41,881
3,1,14,14,14
3,2,19,17,31
3,3,30,22,53
3,4,35,25,78
3,5,46,28,106
3,6,43,23,129
3,7,51,29,158
3,8,60,31,189
3,9,48,27,216
3,10,58,38,254
3,11,59,33,287
3,12,65,37,324
3,13,65,41,365
3,14,56,32,397
3,15,62,34,431
3,16,65,40,471
3,17,60,36,507
3,18,67,40,547
3,19,63,38,585
3,20,79,50,635
3,21,65,41,676
3,22,84,53,729
3,23,76,46,775
3,24,79,53,828
3,25,69,40,868
4,1,18,18,18
4,2,26,24,42
4,3,37,31,73
4,4,43,25,98
4,5,45,31,129
4,6,54,35,164
4,7,53,33,197
4,8,54,33,230
4,9,62,41,271
4,10,67,40,311
4,11,65,36,347
4,12,63,37,384
4,13,77,44,428
4,14,69,42,470
4,15,66,37,507
4,16,67,37,544
4,17,70,39,583
4,18,70,48,631
4,19,76,43,674
4,20,77,51,725
4,21,79,52,777
4,22,72,38,815
4,23,77,44,859
4,24,79,45,904
4,25,77,35,939
5,1,29,29,29
5,2,39,33,62
5,3,49,36,98
5,4,47,31,129
5,5,50,27,156
5,6,54,34,190
5,7,56,38,228
5,8,59,38,266
5,9,52,32,298
5,10,62,41,339
5,11,61,42,381
5,12,58,38,419
5,13,68,42,461
5,14,74,48,509
5,15,73,48,557
5,16,72,44,601
5,17,79,48,649
5,18,77,46,695
5,19,78,43,738
5,20,72,47,785
5,21,79,52,837
5,22,79,52,889
5,23,72,50,939
5,24,77,46,985
5,25,74,44,1029
6,1,21,21,21
6,2,35,27,48
6,3,40,35,83
6,4,39,23,106
6,5,54,40,146
6,6,55,42,188
6,7,63,46,234
6,8,58,41,275
6,9,62,41,316
6,10,69,44,360
6,11,63,49,409
6,12,72,48,457
6,13,70,47,504
6,14,69,49,553
6,15,64,40,593
6,16,64,44,637
6,17,75,51,688
6,18,71,48,736
6,19,71,53,789
6,20,77,43,832
6,21,80,49,881
6,22,74,40,921
6,23,77,52,973
6,24,78,51,1024
6,25,78,39,1063
7,1,30,30,30
7,2,33,30,60
7,3,53,43,103
7,4,58,40,143
7,5,59,43,186
7,6,63,45,231
7,7,64,45,276
7,8,63,39,315
7,9,66,45,360
7,10,70,45,405
7,11,69,47,452
7,12,73,47,499
7,13,77,48,547
7,14,73,49,596
7,15,70,51,647
7,16,77,55,702
7,17,72,44,746
7,18,67,45,791
7,19,79,50,841
7,20,77,48,889
7,21,78,51,940
7,22,75,47,987
7,23,75,43,1030
7,24,77,44,1074
7,25,87,55,1129
8,1,30,30,30
8,2,47,39,69
8,3,56,46,115
8,4,57,41,156
8,5,55,38,194
8,6,65,45,239
8,7,68,50,289
8,8,67,48,337
8,9,71,48,385
8,10,74,53,438
8,11,76,54,492
8,12,74,56,548
8,13,72,45,593
8,14,71,50,643
8,15,76,52,695
8,16,79,55,750
8,17,77,51,801
8,18,75,51,852
8,19,78,53,905
8,20,81,59,964
8,21,74,49,1013
8,22,82,54,1067
8,23,79,51,1118
8,24,78,52,1170
8,25,84,57,1227
9,1,37,37,37
9,2,51,43,80
9,3,45,34,114
9,4,57,39,153
9,5,64,40,193
9,6,55,36,229
9,7,66,44,273
9,8,61,37,310
9,9,74,52,362
9,10,62,38,400
9,11,74,53,453
9,12,72,53,506
9,13,73,51,557
9,14,77,54,611
9,15,81,59,670
9,16,76,54,724
9,17,79,58,782
9,18,76,43,825
9,19,84,50,875
9,20,81,58,933
9,21,82,55,988
9,22,86,54,1042
9,23,74,50,1092
9,24,74,50,1142
9,25,80,54,1196
10,1,26,26,26
10,2,37,32,58
10,3,51,42,100
10,4,58,46,146
10,5,72,55,201
10,6,64,45,246
10,7,64,47,293
10,8,74,53,346
10,9,76,52,398
10,10,71,50,448
10,11,75,51,499
10,12,77,48,547
10,13,66,42,589
10,14,69,43,632
10,15,73,54,686
10,16,76,51,737
10,17,74,45,782
10,18,80,50,832
10,19,74,49,881
10,20,77,49,930
10,21,75,48,978
10,22,81,53,1031
10,23,84,50,1081
10,24,79,50,1131
10,25,79,54,1185
11,1,30,30,30
11,2,47,43,73
11,3,53,42,115
11,4,57,44,159
11,5,67,54,213
11,6,68,54,267
11,7,74,54,321
11,8,74,51,372
11,9,69,44,416
11,10,79,59,475
11,11,76,57,532
11,12,74,55,587
11,13,74,55,642
11,14,77,53,695
11,15,80,53,748
11,16,79,52,800
11,17,75,47,847
11,18,82,55,902
11,19,82,60,962
11,20,79,48,1010
11,21,81,59,1069
11,22,80,60,1129
11,23,91,67,1196
11,24,80,53,1249
11,25,90,68,1317
12,1,27,27,27
12,2,37,33,60
12,3,42,37,97
12,4,45,30,127
12,5,57,40,167
12,6,61,46,213
12,7,63,39,252
12,8,72,49,301
12,9,66,46,347
12,10,70,47,394
12,11,72,50,444
12,12,79,57,501
12,13,71,50,551
12,14,77,55,606
12,15,77,56,662
12,16,77,46,708
12,17,82,58,766
12,18,81,51,817
12,19,84,53,870
12,20,83,62,932
12,21,85,62,994
12,22,80,54,1048
12,23,76,51,1099
12,24,86,57,1156
12,25,83,55,1211
13,1,27,27,27
13,2,34,30,57
13,3,56,47,104
13,4,60,48,152
13,5,57,45,197
13,6,59,40,237
13,7,70,48,285
13,8,67,49,334
13,9,77,58,392
13,10,73,51,443
13,11,75,55,498
13,12,76,47,545
13,13,72,47,592
13,14,76,52,644
13,15,72,47,691
13,16,74,51,742
13,17,82,57,799
13,18,83,52,851
13,19,78,52,903
13,20,79,49,952
13,21,76,50,1002
13,22,76,52,1054
13,23,85,54,1108
13,24,86,59,1167
13,25,79,49,1216
14,1,33,33,33
14,2,47,40,73
14,3,55,40,113
14,4,56,44,157
14,5,63,49,206
14,6,69,53,259
14,7,69,46,305
14,8,69,49,354
14,9,79,52,406
14,10,79,63,469
14,11,74,44,513
14,12,74,46,559
14,13,83,59,618
14,14,77,51,669
14,15,79,60,729
14,16,74,55,784
14,17,85,54,838
14,18,82,61,899
14,19,70,52,951
14,20,78,47,998
14,21,79,52,1050
14,22,88,58,1108
14,23,84,65,1173
14,24,83,54,1227
14,25,77,41,1268
15,1,32,32,32
15,2,45,40,72
15,3,39,30,102
15,4,49,38,140
15,5,57,42,182
15,6,69,51,233
15,7,64,44,277
15,8,69,54,331
15,9,63,46,377
15,10,71,48,425
15,11,81,52,477
15,12,72,53,530
15,13,67,50,580
15,14,77,59,639
15,15,80,59,698
15,16,74,56,754
15,17,77,54,808
15,18,78,44,852
15,19,77,48,900
15,20,82,60,960
15,21,84,63,1023
15,22,79,51,1074
15,23,78,60,1134
15,24,86,53,1187
15,25,81,51,1238
16,1,25,25,25
16,2,38,34,59
16,3,45,38,97
16,4,51,32,129
16,5,66,42,171
16,6,63,40,211
16,7,58,44,255
16,8,71,49,304
16,9,69,46,350
16,10,69,44,394
16,11,64,39,433
16,12,71,44,477
16,13,71,46,523
16,14,80,54,577
16,15,73,46,623
16,16,79,56,679
16,17,78,49,728
16,18,78,43,771
16,19,81,48,819
16,20,75,50,869
16,21,80,53,922
16,22,73,47,969
16,23,78,47,1016
16,24,79,53,1069
16,25,77,43,1112
17,1,35,35,35
17,2,36,29,64
17,3,45,30,94
17,4,49,34,128
17,5,58,39,167
17,6,62,43,210
17,7,68,45,255
17,8,70,48,303
17,9,61,39,342
17,10,71,46,388
17,11,67,46,434
17,12,76,53,487
17,13,74,49,536
17,14,73,44,580
17,15,72,50,630
17,16,73,44,674
17,17,67,43,717
17,18,76,49,766
17,19,77,53,819
17,20,73,45,864
17,21,80,47,911
17,22,81,58,969
17,23,75,45,1014
17,24,79,48,1062
17,25,76,50,1112
18,1,21,21,21
18,2,23,17,38
18,3,35,26,64
18,4,41,27,91
18,5,40,28,119
18,6,49,32,151
18,7,52,36,187
18,8,56,35,222
18,9,60,42,264
18,10,64,46,310
18,11,64,39,349
18,12,65,42,391
18,13,63,35,426
18,14,68,43,469
18,15,73,48,517
18,16,61,35,552
18,17,70,48,600
18,18,79,45,645
18,19,68,43,688
18,20,65,36,724
18,21,74,49,773
18,22,76,48,821
18,23,77,53,874
18,24,74,47,921
18,25,72,45,966
19,1,27,27,27
19,2,38,34,61
19,3,39,25,86
19,4,46,31,117
19,5,56,42,159
19,6,58,38,197
19,7,58,42,239
19,8,53,38,277
19,9,69,50,327
19,10,67,42,369
19,11,68,46,415
19,12,70,45,460
19,13,72,47,507
19,14,71,47,554
19,15,82,59,613
19,16,74,47,660
19,17,70,41,701
19,18,77,44,745
19,19,74,46,791
19,20,69,42,833
19,21,76,46,879
19,22,78,42,921
19,23,78,47,968
19,24,84,57,1025
19,25,82,61,1086
20,1,31,31,31
20,2,38,29,60
20,3,43,34,94
20,4,52,36,130
20,5,50,34,164
20,6,50,24,188
20,7,57,39,227
20,8,62,42,269
20,9,72,47,316
20,10,65,37,353
20,11,64,41,394
20,12,68,48,442
20,13,74,49,491
20,14,63,33,524
20,15,75,52,576
20,16,66,49,625
20,17,65,38,663
20,18,72,48,711
20,19,74,46,757
20,20,71,43,800
20,21,80,44,844
20,22,76,52,896
20,23,72,46,942
20,24,76,54,996
20,25,81,53,1049
21,1,31,31,31
21,2,35,30,61
21,3,40,31,92
21,4,49,34,126
21,5,54,36,162
21,6,63,39,201
21,7,64,41,242
21,8,62,35,277
21,9,66,43,320
21,10,60,42,362
21,11,71,44,406
21,12,63,37,443
21,13,66,45,488
21,14,71,46,534
21,15,62,38,572
21,16,73,42,614
21,17,72,43,657
21,18,73,45,702
21,19,72,54,756
21,20,77,46,802
21,21,77,52,854
21,22,76,50,904
21,23,76,49,953
21,24,78,48,1001
21,25,74,37,1038
22,1,25,25,25
22,2,36,32,57
22,3,51,38,95
22,4,43,31,126
22,5,53,40,166
22,6,60,38,204
22,7,65,37,241
