t,i,num_sampled,num_new_elements,total_sample_size
1,1,3,3,3
1,2,3,1,4
1,3,2,0,4
1,4,3,0,4
1,5,4,2,6
1,6,4,0,6
1,7,3,0,6
1,8,6,1,7
1,9,8,2,9
1,10,7,1,10
1,11,7,2,12
1,12,6,1,13
1,13,9,3,16
1,14,9,1,17
1,15,8,0,17
1,16,10,1,18
1,17,15,6,24
1,18,11,1,25
1,19,10,0,25
1,20,12,3,28
1,21,13,3,31
1,22,17,2,33
1,23,18,6,39
1,24,14,2,41
1,25,19,6,47
2,1,3,3,3
2,2,1,0,3
2,3,4,2,5
2,4,5,2,7
2,5,8,4,11
2,6,5,2,13
2,7,8,3,16
2,8,5,1,17
2,9,11,2,19
2,10,12,2,21
2,11,12,2,23
2,12,14,4,27
2,13,18,5,32
2,14,14,4,36
2,15,18,5,41
2,16,16,4,45
2,17,16,7,52
2,18,21,5,57
2,19,24,7,64
2,20,25,7,71
2,21,26,8,79
2,22,32,10,89
2,23,28,7,96
2,24,32,9,105
2,25,35,9,114
3,1,3,3,3
3,2,4,2,5
3,3,6,3,8
3,4,7,2,10
3,5,7,2,12
3,6,8,1,13
3,7,6,0,13
3,8,10,1,14
3,9,13,7,21
3,10,13,5,26
3,11,13,2,28
3,12,14,3,31
3,13,20,9,40
3,14,16,3,43
3,15,20,6,49
3,16,22,5,54
3,17,26,10,64
3,18,29,8,72
3,19,25,6,78
3,20,35,14,92
3,21,31,10,102
3,22,35,11,113
3,23,36,11,124
3,24,40,14,138
3,25,36,9,147
4,1,6,6,6
4,2,8,7,13
4,3,5,2,15
4,4,6,2,17
4,5,9,3,20
4,6,9,2,22
4,7,12,4,26
4,8,11,3,29
4,9,13,1,30
4,10,15,5,35
4,11,20,5,40
4,12,19,4,44
4,13,22,7,51
4,14,23,6,57
4,15,18,5,62
4,16,27,8,70
4,17,30,11,81
4,18,32,9,90
4,19,26,5,95
4,20,37,12,107
4,21,37,11,118
4,22,41,14,132
4,23,35,9,141
4,24,36,7,148
4,25,39,10,158
5,1,6,6,6
5,2,2,1,7
5,3,7,4,11
5,4,7,3,14
5,5,9,4,18
5,6,11,2,20
5,7,8,1,21
5,8,9,0,21
5,9,16,6,27
5,10,18,9,36
5,11,19,7,43
5,12,23,10,53
5,13,20,8,61
5,14,23,8,69
5,15,29,13,82
5,16,35,14,96
5,17,31,9,105
5,18,34,14,119
5,19,43,11,130
5,20,38,17,147
5,21,37,13,160
5,22,44,16,176
5,23,42,10,186
5,24,50,16,202
5,25,46,15,217
6,1,3,3,3
6,2,7,5,8
6,3,8,4,12
6,4,8,1,13
6,5,8,1,14
6,6,13,5,19
6,7,11,5,24
6,8,15,5,29
6,9,17,3,32
6,10,18,8,40
6,11,22,10,50
6,12,26,10,60
6,13,22,4,64
6,14,24,9,73
6,15,24,10,83
6,16,28,10,93
6,17,32,14,107
6,18,35,7,114
6,19,32,9,123
6,20,46,19,142
6,21,42,13,155
6,22,40,14,169
6,23,48,17,186
6,24,45,16,202
6,25,44,11,213
7,1,8,8,8
7,2,8,5,13
7,3,11,5,18
7,4,8,2,20
7,5,14,7,27
7,6,17,6,33
7,7,15,8,41
7,8,20,9,50
7,9,22,11,61
7,10,26,11,72
7,11,32,13,85
7,12,32,15,100
7,13,38,14,114
7,14,32,12,126
7,15,31,10,136
7,16,45,16,152
7,17,33,9,161
7,18,44,14,175
7,19,45,18,193
7,20,52,17,210
7,21,55,20,230
7,22,46,16,246
7,23,50,18,264
7,24,51,16,280
7,25,51,20,300
8,1,7,7,7
8,2,6,3,10
8,3,6,2,12
8,4,11,5,17
8,5,13,7,24
8,6,17,10,34
8,7,20,9,43
8,8,26,15,58
8,9,22,8,66
8,10,31,12,78
8,11,26,8,86
8,12,26,8,94
8,13,30,13,107
8,14,41,20,127
8,15,44,20,147
8,16,40,19,166
8,17,43,22,188
8,18,39,14,202
8,19,46,17,219
8,20,45,14,233
8,21,45,20,253
8,22,50,20,273
8,23,49,24,297
8,24,51,17,314
8,25,50,14,328
9,1,8,8,8
9,2,7,5,13
9,3,11,6,19
9,4,16,11,30
9,5,17,8,38
9,6,21,8,46
9,7,21,8,54
9,8,28,16,70
9,9,31,15,85
9,10,36,18,103
9,11,32,8,111
9,12,31,16,127
9,13,37,14,141
9,14,38,15,156
9,15,34,9,165
9,16,44,22,187
9,17,45,15,202
9,18,33,9,211
9,19,43,15,226
9,20,51,18,244
9,21,53,24,268
9,22,47,19,287
9,23,49,22,309
9,24,49,9,318
9,25,50,16,334
10,1,5,5,5
10,2,5,2,7
10,3,8,5,12
10,4,8,3,15
10,5,8,1,16
10,6,9,2,18
10,7,9,3,21
10,8,12,2,23
10,9,15,8,31
10,10,20,7,38
10,11,16,5,43
10,12,22,9,52
10,13,31,15,67
10,14,25,11,78
10,15,25,7,85
10,16,39,15,100
10,17,33,14,114
10,18,38,13,127
10,19,38,19,146
10,20,36,9,155
10,21,29,9,164
10,22,43,17,181
10,23,43,17,198
10,24,55,23,221
10,25,42,15,236
11,1,6,6,6
11,2,11,9,15
11,3,9,6,21
11,4,13,6,27
11,5,13,6,33
11,6,16,6,39
11,7,22,7,46
11,8,26,14,60
11,9,28,10,70
11,10,34,15,85
11,11,42,23,108
11,12,31,11,119
11,13,33,12,131
11,14,46,21,152
11,15,47,25,177
11,16,42,16,193
11,17,46,21,214
11,18,46,19,233
11,19,53,22,255
11,20,48,21,276
11,21,62,26,302
11,22,48,22,324
11,23,48,16,340
11,24,61,26,366
11,25,56,24,390
12,1,4,4,4
12,2,5,3,7
12,3,8,5,12
12,4,9,5,17
12,5,9,3,20
12,6,15,7,27
12,7,11,5,32
12,8,15,4,36
12,9,18,7,43
12,10,16,5,48
12,11,21,7,55
12,12,29,16,71
12,13,24,6,77
12,14,30,15,92
12,15,31,16,108
12,16,33,13,121
12,17,30,7,128
12,18,36,13,141
12,19,43,20,161
12,20,50,24,185
12,21,47,16,201
12,22,42,11,212
12,23,41,14,226
12,24,53,24,250
12,25,41,15,265
13,1,4,4,4
13,2,4,1,5
13,3,5,3,8
13,4,7,5,13
13,5,11,8,21
13,6,13,6,27
13,7,17,7,34
13,8,17,11,45
13,9,23,12,57
13,10,26,12,69
13,11,25,12,81
13,12,31,18,99
13,13,29,12,111
13,14,33,10,121
13,15,38,17,138
13,16,43,19,157
13,17,44,16,173
13,18,41,18,191
13,19,54,23,214
13,20,49,24,238
13,21,52,21,259
13,22,59,30,289
13,23,59,30,319
13,24,61,35,354
13,25,65,32,386
14,1,5,5,5
14,2,6,4,9
14,3,6,4,13
14,4,8,6,19
14,5,9,3,22
14,6,9,3,25
14,7,18,6,31
14,8,21,10,41
14,9,16,7,48
14,10,24,10,58
14,11,26,10,68
14,12,21,7,75
14,13,32,12,87
14,14,34,15,102
14,15,38,18,120
14,16,42,21,141
14,17,47,20,161
14,18,47,19,180
14,19,47,20,200
14,20,47,19,219
14,21,51,17,236
14,22,53,22,258
14,23,47,16,274
14,24,56,19,293
14,25,52,18,311
15,1,9,9,9
15,2,7,3,12
15,3,3,0,12
15,4,5,2,14
15,5,11,3,17
15,6,11,5,22
15,7,12,4,26
15,8,19,7,33
15,9,10,4,37
15,10,16,2,39
15,11,19,8,47
15,12,33,16,63
15,13,24,9,72
15,14,30,17,89
15,15,30,12,101
15,16,38,14,115
15,17,44,17,132
15,18,43,20,152
15,19,51,23,175
15,20,43,18,193
15,21,49,24,217
15,22,46,15,232
15,23,53,18,250
15,24,51,16,266
15,25,52,28,294
16,1,2,2,2
16,2,4,2,4
16,3,9,7,11
16,4,8,6,17
16,5,10,3,20
16,6,13,3,23
16,7,10,1,24
16,8,20,10,34
16,9,15,4,38
16,10,16,3,41
16,11,28,14,55
16,12,28,10,65
16,13,33,15,80
16,14,28,9,89
16,15,33,12,101
16,16,32,12,113
16,17,38,19,132
16,18,36,10,142
16,19,47,19,161
16,20,54,19,180
16,21,42,13,193
16,22,48,17,210
16,23,48,13,223
16,24,47,15,238
16,25,51,14,252
17,1,3,3,3
17,2,3,1,4
17,3,3,1,5
17,4,6,2,7
17,5,2,1,8
17,6,9,5,13
17,7,12,7,20
17,8,12,3,23
17,9,12,4,27
17,10,15,7,34
17,11,13,4,38
17,12,19,6,44
17,13,17,6,50
17,14,20,6,56
17,15,23,9,65
17,16,22,7,72
17,17,22,4,76
17,18,29,10,86
17,19,37,19,105
17,20,34,15,120
17,21,32,10,130
